,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Comoros,,,,,,,,,,,2.107124398,1.344225824,2.176369488,-0.513486248,-0.618683528,2.317289446,1.065150867,-0.519087048,-1.03279923,-0.109788737,1.294112375,1.619611278,1.061273705,1.98620254,1.499889585,0.485062928,1.177177399,1.564855991,1.652959587,0.886097503,0.439685594,0.137794153,-0.764656881,-0.732000797,-0.612003909,-1.91485443,-2.3705953,-2.646509585,-3.326399388,-3.473732219,-3.661121013,-3.627433242,-3.140312757,-3.647852246,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,-2.047083617,-3.02185498,-4.348091322,-4.323286302,-4.24118595,-3.563395842,-2.05541526,-1.951260091,-2.017588942,-2.724212943,-1.68432553,-2.060655955,-2.891071384,-5.514731569,-5.472652528,-6.300328823,-6.787494408,-6.689829899,-6.649027771,-7.416730432,-9.492757847,-8.981194828,-6.947854808,-2.489348435,-2.598314452
"Congo, Rep.",,,,,,,,,,,2.614177954,3.327665505,2.754245518,3.70841975,3.048642964,3.779557797,4.419808113,4.333826062,4.254809067,4.88705346,5.399558177,6.149941349,7.281818504,6.830880501,7.668081725,6.371621916,4.794370422,4.395394976,3.772147142,2.428795526,2.390859274,-0.75655144,-1.124978619,-2.905778348,-3.871836682,-2.582489277,-1.436184836,-0.856557751,0.507003124,-4.523127964,-6.959599391,-5.086459418,-5.171804116,-3.861165072,
Costa Rica,3.637701631,3.106233766,2.606372052,1.541617677,1.706541613,1.728815703,2.56701117,2.487861373,1.957979353,2.364168426,2.358650157,3.038862637,3.187113854,3.155923276,3.155549768,2.597983362,2.482804608,2.923433245,2.833990448,2.799615834,2.106465761,1.470433645,0.063332581,-0.302072049,-0.176572024,-0.366416166,-0.425389158,-1.005996771,-1.210681919,-1.15817483,-0.930720523,-0.536033639,0.902458233,1.459441266,1.366328365,1.716331835,1.656807611,1.83328626,2.173722222,2.775054807,2.763429524,2.570670007,2.143306779,2.205937554,2.094483395
Cote d'Ivoire,,,,,,,,,,,3.958499709,4.322218062,3.955693306,2.81306038,1.452136092,3.125930467,2.861885582,2.681705951,2.573070385,2.439099123,0.76777475,0.23744607,1.435725792,1.120166419,1.410950972,0.727710158,0.737120902,0.670697197,-0.189297651,0.879158537,1.313698139,0.684447731,-0.604412176,-0.530676632,-1.065749197,-1.010832331,-1.220642952,-0.981630891,-0.657228822,-1.671035615,-0.798954573,-0.468343501,-0.579275002,-0.305350684,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.757821333,0.905277171,2.59523715,3.923570955,3.704065131
Cuba,,,,,,,,,,,,,,,,,,,,,3.434486313,4.748135781,5.751947951,6.097027581,6.426718131,8.28371113,8.017871833,6.909089563,6.382241737,6.180852491,6.018370794,3.954174413,1.368533947,-0.559856635,-0.649060171,-3.267718646,-3.11279621,-3.314670584,-3.322413302,-2.738625663,-1.64339466,-1.111252781,0.482229158,2.425447125,
Cyprus,,,,,,,,,,,,,,,,,,,,,4.539186765,3.8282802,3.787098439,4.209761835,6.596022302,8.412394818,6.742635522,5.930621421,5.990301658,5.770674904,5.844330999,5.494370726,5.562816151,4.82435852,4.749533167,5.245589547,5.013323293,4.440917675,3.8513397,3.849035742,3.410593018,3.875503129,3.456486602,3.803024535,3.542826184
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087663833,1.59673847,1.866096554,2.103760075,2.265872738
Denmark,2.585510952,3.577411668,3.987383824,3.357824609,3.793559299,4.343266679,4.381972809,4.317259672,4.487999672,4.199484673,3.788798554,3.400123217,3.275486771,3.610787031,2.556158523,1.962922396,2.349313905,2.127707252,1.990628393,1.724674872,1.450525778,1.025384777,0.909555486,0.79767598,1.38137846,1.98276132,1.787301183,1.700939968,1.672085724,1.38880385,1.559039181,1.898652609,1.784547161,1.523578704,1.68175863,1.603583146,1.426577655,1.74548172,1.814934601,2.016561622,2.284484877,2.201325133,2.036061434,2.140338378,1.777325532
